名称,所在地_連結表記,所在地_都道府県,所在地_市区町村,緯度,経度,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL
メゾネット高瀬,石川県鳳珠郡能登町小木1丁目15,石川県,鳳珠郡能登町,37.181391,137.133046,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
公立宇出津総合病院,石川県鳳珠郡能登町宇出津夕97,石川県,鳳珠郡能登町,37.183152,137.08508,0768-62-1311,,,,,,5.00002E+12,能登町,土・日・祝日休み,8:30,12:00,一部の課では午後の診療も可能,,,,,,,,,,,,,,,,,,,
公立宇出津総合病院(看護師住宅),石川県鳳珠郡能登町宇出津タ40-1,石川県,鳳珠郡能登町,37.18338,137.085117,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
公立宇出津総合病院(医師公舎),石川県鳳珠郡能登町宇出津ツ4-1,石川県,鳳珠郡能登町,37.182563,137.084917,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
公立宇出津総合病院(医師住宅) 1～3号棟,石川県鳳珠郡能登町宇出津レ9-1,石川県,鳳珠郡能登町,37.182925,137.084826,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
公立宇出津総合病院(医師住宅) 5号棟,石川県鳳珠郡能登町宇出津レ9-5地,石川県,鳳珠郡能登町,37.182959,137.084782,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
公立宇出津総合病院(医師住宅) 6、7号棟,石川県鳳珠郡能登町宇出津新1-181-2,石川県,鳳珠郡能登町,37.182322,137.085501,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
公立宇出津総合病院(医師住宅) 8～11号棟,石川県鳳珠郡能登町宇出津山分5-26,石川県,鳳珠郡能登町,37.18262,137.092413,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
公立宇出津総合病院(医師住宅) 12号棟,石川県鳳珠郡能登町宇出津山分5-26,石川県,鳳珠郡能登町,37.18262,137.092413,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
公立宇出津総合病院(医師住宅) 13号棟～17号棟,石川県鳳珠郡能登町宇出津レ9-1,石川県,鳳珠郡能登町,37.182925,137.084826,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
公立宇出津総合病院(医師住宅),石川県鳳珠郡能登町宇出津レ36-1,石川県,鳳珠郡能登町,37.182954,137.083722,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
新港中継ポンプセンター,石川県鳳珠郡能登町新港3丁目2-1,石川県,鳳珠郡能登町,37.175529,137.085431,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
能都町水質浄化センター,石川県鳳珠郡能登町藤波10-12,石川県,鳳珠郡能登町,37.181082,137.08172,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
松波浄化センター,石川県鳳珠郡能登町松波27-63-1,石川県,鳳珠郡能登町,37.210283,137.14247,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
恋路浄化センター,石川県鳳珠郡能登町恋路3-10,石川県,鳳珠郡能登町,37.220296,137.144274,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
小木浄化センター,石川県鳳珠郡能登町小木ナ5-1,石川県,鳳珠郡能登町,37.182391,137.132767,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
柳田中央地区農業集落排水施設,石川県鳳珠郡能登町石井3-22-1,石川県,鳳珠郡能登町,37.221878,137.061477,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
柳田右岸地区農業集落排水施設,石川県鳳珠郡能登町笹川イ6,石川県,鳳珠郡能登町,37.215136,137.061042,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
上町地区農業集落排水施設,石川県鳳珠郡能登町上町3-38-2,石川県,鳳珠郡能登町,37.211464,137.062987,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
国重地区農業集落排水施設,石川県鳳珠郡能登町国重12-146,石川県,鳳珠郡能登町,37.200526,137.100455,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
小間生地区農業集落排水施設,石川県鳳珠郡能登町上長尾ニ47-1,石川県,鳳珠郡能登町,37.222891,137.061678,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
内浦南部地区農業集落排水施設,石川県鳳珠郡能登町清真23-26,石川県,鳳珠郡能登町,37.201465,137.142177,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
岩井戸中央地区農業集落排水施設,石川県鳳珠郡能登町当目ロ73-1,石川県,鳳珠郡能登町,37.215656,137.013985,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
寺五地区農業集落排水施設,石川県鳳珠郡能登町五郎左エ門分天55,石川県,鳳珠郡能登町,37.205386,137.053303,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
黒川地区農業集落排水施設,石川県鳳珠郡能登町黒川34-80-1,石川県,鳳珠郡能登町,37.220395,137.022196,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
宇加塚地区農業集落排水施設,石川県鳳珠郡能登町宇加塚75-1,石川県,鳳珠郡能登町,37.184911,137.060597,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
不動寺地区農業集落排水施設,石川県鳳珠郡能登町不動寺7-65,石川県,鳳珠郡能登町,37.200741,137.125142,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
瑞穂地区農業集落排水施設,石川県鳳珠郡能登町柿生5-43-1,石川県,鳳珠郡能登町,37.155517,137.040549,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
赤崎地区漁業集落排水施設,石川県鳳珠郡能登町布浦ヘ3-2,石川県,鳳珠郡能登町,37.21029,137.154674,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
小浦地区漁業集落排水施設,石川県鳳珠郡能登町小浦13-121,石川県,鳳珠郡能登町,37.175763,137.105874,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
矢波浄水場,石川県鳳珠郡能登町矢波20-1,石川県,鳳珠郡能登町,37.165093,137.053167,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
柳田浄水場,石川県鳳珠郡能登町柳田庚13,石川県,鳳珠郡能登町,37.214229,137.044346,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
五十里浄水場,石川県鳳珠郡能登町五十里メ2-丙,石川県,鳳珠郡能登町,37.223512,137.024051,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
内浦浄水場,石川県鳳珠郡能登町行延6-66,石川県,鳳珠郡能登町,37.201122,137.122981,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
バス乗務員休憩所,石川県鳳珠郡能登町宇出津新港3丁目2-1,石川県,鳳珠郡能登町,37.175401,137.085619,0768-62-1118,,,,,,5.00002E+12,能登町,年中無休,7:00,19:00,,,,,,,,,,,,,,,,,,,,
柳田天坂バス停留所,石川県鳳珠郡能登町天坂ろ26-1,石川県,鳳珠郡能登町,37.210231,137.060452,0768-62-8535,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
小木港バス待合所,石川県鳳珠郡能登町小木17,石川県,鳳珠郡能登町,37.180289,137.134138,0768-62-8535,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
なごみバス待合所,石川県鳳珠郡能登町七見ツ66-2,石川県,鳳珠郡能登町,37.160244,137.053874,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
矢波弁天バス待合所,石川県鳳珠郡能登町矢波25-32-4,石川県,鳳珠郡能登町,37.16329,137.054806,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
辺田の浜バス待合所,石川県鳳珠郡能登町藤波17-16-8,石川県,鳳珠郡能登町,37.174232,137.081188,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
宇出津病院前バス待合所,石川県鳳珠郡能登町宇出津タ97,石川県,鳳珠郡能登町,37.183184,137.085133,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
縄文真脇温泉口バス待合所,石川県鳳珠郡能登町真脇45-59-1,石川県,鳳珠郡能登町,37.180713,137.122803,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
能登瑞穂バス待合所(上り),石川県鳳珠郡能登町瑞穂4-122-2,石川県,鳳珠郡能登町,37.165423,137.022765,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
能登瑞穂バス待合所(下り),石川県鳳珠郡能登町瑞穂4-122-2,石川県,鳳珠郡能登町,37.165423,137.022765,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
鵜川口(上り)バス待合所,石川県鳳珠郡能登町七見ろ15-1,石川県,鳳珠郡能登町,37.152178,137.050063,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
松波城址公園口バス待合所,石川県鳳珠郡能登町松波ロ24-23,石川県,鳳珠郡能登町,37.212541,137.142516,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
いやさか広場前バス待合所,石川県鳳珠郡能登町宇出津新1-209-13,石川県,鳳珠郡能登町,37.18247,137.085349,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
中斉丑屋地バス待合所,石川県鳳珠郡能登町中斉ノ97,石川県,鳳珠郡能登町,37.201528,137.023141,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
上河内バス待合所,石川県鳳珠郡能登町北河内ヌ58-1,石川県,鳳珠郡能登町,37.230164,137.004081,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
下河内バス待合所,石川県鳳珠郡能登町北河内タ120-2,石川県,鳳珠郡能登町,37.225446,137.013827,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
西谷バス待合所,石川県鳳珠郡能登町十郎原ワ65-2,石川県,鳳珠郡能登町,37.212307,137.031124,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
東谷バス待合所,石川県鳳珠郡能登町十郎原ム71,石川県,鳳珠郡能登町,37.210113,137.0314,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
四谷バス待合所,石川県鳳珠郡能登町柳田辛1001-4,石川県,鳳珠郡能登町,37.214209,137.043661,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
金山バス待合所,石川県鳳珠郡能登町柳田ヲ23-1,石川県,鳳珠郡能登町,37.231687,137.043514,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
柳田バス待合所(上り),石川県鳳珠郡能登町柳田礼3-3,石川県,鳳珠郡能登町,37.220063,137.055102,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
柳田バス待合所(下り),石川県鳳珠郡能登町笹川イ26-2,石川県,鳳珠郡能登町,37.215955,137.055147,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
上町公民館前バス待合所,石川県鳳珠郡能登町上町に1-1,石川県,鳳珠郡能登町,37.210649,137.063579,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
笹川バス待合所,石川県鳳珠郡能登町笹川10-7-3,石川県,鳳珠郡能登町,37.21446,137.054192,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
中の又バス待合所,石川県鳳珠郡能登町上町6-157-3,石川県,鳳珠郡能登町,37.202628,137.071267,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
兜地バス待合所,石川県鳳珠郡能登町当目30-30,石川県,鳳珠郡能登町,37.203928,137.000402,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
立岩地バス待合所,石川県鳳珠郡能登町五十里エ2,石川県,鳳珠郡能登町,37.223046,137.024222,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
黒川バス待合所,石川県鳳珠郡能登町黒川35-55-2,石川県,鳳珠郡能登町,37.215744,137.022451,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
柳田天坂バス停留所(下り),石川県鳳珠郡能登町天坂ろ53-4,石川県,鳳珠郡能登町,37.210319,137.060696,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
多々羅バス待合所,石川県鳳珠郡能登町合鹿31-4-1,石川県,鳳珠郡能登町,37.203463,137.08225,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
小木の又バス待合所,石川県鳳珠郡能登町合鹿12-42-2,石川県,鳳珠郡能登町,37.211167,137.07508,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
久田バス待合所,石川県鳳珠郡能登町久田ろ38-2,石川県,鳳珠郡能登町,37.215356,137.070511,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
寺分バス待合所,石川県鳳珠郡能登町五郎左エ門分竹17-1,石川県,鳳珠郡能登町,37.204957,137.051892,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
原反保バス待合所,石川県鳳珠郡能登町寺分7-96-3,石川県,鳳珠郡能登町,37.204286,137.045493,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
神和住バス待合所,石川県鳳珠郡能登町神和住ラ35-2,石川県,鳳珠郡能登町,37.203637,137.035422,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
中斉バス待合所,石川県鳳珠郡能登町中斉ミ81-1,石川県,鳳珠郡能登町,37.202241,137.032547,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
能登新保バス待合所,石川県鳳珠郡能登町新保2-13,石川県,鳳珠郡能登町,37.184091,137.145226,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
九里川尻バス待合所,石川県鳳珠郡能登町九里川尻9-19-1,石川県,鳳珠郡能登町,37.202441,137.144785,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
九ノ里薬師寺前バス待合所,石川県鳳珠郡能登町布浦ク11-1,石川県,鳳珠郡能登町,37.203556,137.145395,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
小木本町バス待合所,石川県鳳珠郡能登町小木15-8-1,石川県,鳳珠郡能登町,37.175822,137.133667,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
九十九湾バス待合所,石川県鳳珠郡能登町市之瀬1-54-2,石川県,鳳珠郡能登町,37.183836,137.1342,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
能登高校南バス待合所,石川県鳳珠郡能登町宇出津マ106-7,石川県,鳳珠郡能登町,37.175573,137.085731,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
松波中学校前バス待合所,石川県鳳珠郡能登町松波16-26-6,石川県,鳳珠郡能登町,37.205271,137.144368,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
藤波長島公園トイレ,石川県鳳珠郡能登町藤波23-1-1,石川県,鳳珠郡能登町,37.174168,137.075999,0768-62-8524,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
岩井戸トイレ,石川県鳳珠郡能登町当目ヘ41,石川県,鳳珠郡能登町,37.213939,137.011428,0768-62-8524,,,,,,5.00002E+12,能登町,月火水木金土日,,,,,,,,,,,,,,,,,,,,,,
秋吉あまめはぎ公園トイレ,石川県鳳珠郡能登町秋吉30-41,石川県,鳳珠郡能登町,37.195783,137.140674,0768-62-8526,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
日和山公園トイレ,石川県鳳珠郡能登町小木19-1,石川県,鳳珠郡能登町,37.180651,137.140688,0768-62-8526,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
赤崎海岸休憩舎,石川県鳳珠郡能登町布浦イ,石川県,鳳珠郡能登町,37.212611,137.155782,0768-62-8526,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
赤崎公衆トイレ,石川県鳳珠郡能登町布浦6-1,石川県,鳳珠郡能登町,37.210613,137.154125,0768-62-8526,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
遠島山公園トイレ(旧西谷記念館),石川県鳳珠郡能登町宇出津イ1112-1,石川県,鳳珠郡能登町,37.180345,137.093681,0768-62-8526,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
恋路ふれあい体験農園,石川県鳳珠郡能登町恋路3-31-1,石川県,鳳珠郡能登町,37.220026,137.143726,,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
大屋根広場トイレ,石川県鳳珠郡能登町宇出津新1-197-1,石川県,鳳珠郡能登町,37.306876,137.150199,0768-62-8526,,,,,,5.00002E+12,能登町,,,,,,,,,,,,,,,,,,,,,,,
新庄東公園,石川県野々市市新庄1丁目245,石川県,野々市市,36.49987388,136.6117608,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
新庄西公園,石川県野々市市新庄2丁目161,石川県,野々市市,36.50019298,136.6092288,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
新庄すみれ公園,石川県野々市市新庄3丁目199,石川県,野々市市,36.50368795,136.6099772,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
新庄花の木台公園,石川県野々市市新庄4丁目7-1 他,石川県,野々市市,36.50629883,136.6134211,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
新庄ひばり公園,石川県野々市市新庄5丁目101,石川県,野々市市,36.50728194,136.6103875,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
新庄１号緑地,石川県野々市市新庄4丁目191,石川県,野々市市,36.50811411,136.6128015,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
粟田中央公園,石川県野々市市粟田1丁目144,石川県,野々市市,36.50977197,136.612933,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
粟田１号緑地,石川県野々市市粟田1丁目242-42,石川県,野々市市,36.51108271,136.6108087,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
粟田パンダ公園,石川県野々市市粟田3丁目83,石川県,野々市市,36.51479276,136.6131851,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
粟田２号緑地,石川県野々市市粟田3丁目149,石川県,野々市市,36.51614653,136.614663,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
粟田東公園,石川県野々市市粟田3丁目353､353-1,石川県,野々市市,36.5168234,136.6146871,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
粟田北公園,石川県野々市市粟田3丁目459,石川県,野々市市,36.51823102,136.6147917,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
下林１号緑地,石川県野々市市下林4丁目296,石川県,野々市市,36.52413069,136.6038671,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
下林２号緑地,石川県野々市市下林4丁目71,石川県,野々市市,36.5216562,136.6022336,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
下林３号緑地,石川県野々市市下林4丁目7,石川県,野々市市,36.52139539,136.6014209,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
藤平田１号緑地,石川県野々市市藤平田2丁目75,石川県,野々市市,36.52152041,136.6068175,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
清金公園,石川県野々市市清金3丁目124,石川県,野々市市,36.51989298,136.5951177,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
白山１号緑地,石川県野々市市白山町16-4,石川県,野々市市,36.52627748,136.6101247,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
太平寺東公園,石川県野々市市太平寺1丁目311,石川県,野々市市,36.52640249,136.6056293,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
太平寺西公園,石川県野々市市太平寺2丁目219,石川県,野々市市,36.52776899,136.6033011,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
太平寺１号緑地,石川県野々市市太平寺3丁目102,石川県,野々市市,36.5301937,136.6035881,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
柳町１号緑地,石川県野々市市柳町144-2,石川県,野々市市,36.5269909,136.5821868,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
扇が丘東公園,石川県野々市市扇が丘507,石川県,野々市市,36.52627532,136.6279533,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
扇が丘１号緑地,石川県野々市市扇が丘177-17,石川県,野々市市,36.52659001,136.6250619,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
扇が丘２号緑地,石川県野々市市扇が丘64-2,石川県,野々市市,36.52529677,136.6228169,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
徳用南公園,石川県野々市市徳用2丁目203,石川県,野々市市,36.53365715,136.5908637,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
三日市万葉台南公園,石川県野々市市三日市3丁目290,石川県,野々市市,36.53294809,136.5994227,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
三日市万葉台中公園,石川県野々市市三日市3丁目300,石川県,野々市市,36.53349766,136.5989157,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
三日市万葉台北公園,石川県野々市市三日市3丁目156,石川県,野々市市,36.53478645,136.5987521,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
押越北公園,石川県野々市市押越2丁目237 他,石川県,野々市市,36.54020645,136.6096097,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
北横宮公園,石川県野々市市横宮町30,石川県,野々市市,36.53460757,136.6153148,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
あすなろ公園,石川県野々市市御経塚5丁目83,石川県,野々市市,36.54560882,136.6021317,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
位川公園,石川県野々市市位川288,石川県,野々市市,36.52509416,136.6062087,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
本町若葉台公園,石川県野々市市本町1丁目5-53､5-90,石川県,野々市市,36.53694156,136.6223153,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
本町１丁目１号緑地,石川県野々市市本町1丁目1-54,石川県,野々市市,36.53790272,136.6216609,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
粟田３号緑地,石川県野々市市粟田3丁目250,石川県,野々市市,36.51648928,136.612772,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
二日市１号緑地,石川県野々市市二日市2丁目28,石川県,野々市市,36.54071502,136.6014612,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
本町６丁目１号緑地,石川県野々市市本町6丁目86-4 他,石川県,野々市市,36.53401922,136.6077402,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
下林４号緑地,石川県野々市市下林4丁目247-1 他,石川県,野々市市,36.52151179,136.6060182,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
野々市中央公園,石川県野々市市下林3丁目､堀内2丁目地内,石川県,野々市市,36.52422553,136.5989506,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,総合公園,,,,有,有,,,,,,有,,,,,,,
矢作諏訪公園,石川県野々市市矢作1丁目177,石川県,野々市市,36.52083064,136.6130993,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
矢作西城公園,石川県野々市市矢作3丁目35,石川県,野々市市,36.5239367,136.6116026,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
下林さくら公園,石川県野々市市下林4丁目508-1 他,石川県,野々市市,36.5228719,136.6031858,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
三納公園,石川県野々市市三納3丁目130,石川県,野々市市,36.52409405,136.6108891,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
末松廃寺跡公園,石川県野々市市末松2丁目247,石川県,野々市市,36.50824778,136.5895897,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,歴史公園,,,,,,,,,,,,,,,,,,
野代公園,石川県野々市市野代3丁目59,石川県,野々市市,36.54145633,136.6036954,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
野代１号緑地,石川県野々市市野代1丁目19,石川県,野々市市,36.53794798,136.6040629,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
みその公園,石川県野々市市稲荷4丁目157,石川県,野々市市,36.53668942,136.605412,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
稲荷公園,石川県野々市市稲荷2丁目104,石川県,野々市市,36.53403215,136.6015631,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
稲荷北公園,石川県野々市市稲荷3丁目78,石川県,野々市市,36.53585108,136.6001898,076-227-6092,,,,,,5.00002E+12,野々市市,,,,,街区公園,,,,,,,,,,,,,,,,,,
